t,C(t)
11089.0,-0.005445926262025518
11090.0,-0.005461126839085622
11091.0,-0.005489454316689774
11092.0,-0.005554306236436137
11093.0,-0.005650731121884578
11094.0,-0.005726980385650651
11095.0,-0.0057527539330070095
11096.0,-0.005726098251566768
11097.0,-0.005636173452947702
11098.0,-0.005491884171050982
11099.0,-0.005249460641437417
11100.0,-0.0050340818098123154
11101.0,-0.0047924312767950415
11102.0,-0.004601647591651129
11103.0,-0.004397630536370303
11104.0,-0.004167405978963759
11105.0,-0.00395239772555214
11106.0,-0.003747096685388145
11107.0,-0.003534995691065296
11108.0,-0.003307985388850228
11109.0,-0.003282065919731765
11110.0,-0.0032360833340792892
11111.0,-0.003190724137347806
11112.0,-0.0032297344696029457
11113.0,-0.0032202672888393302
11114.0,-0.003169780165255255
11115.0,-0.003149494917357641
11116.0,-0.0031221152607374724
11117.0,-0.0031672054574689475
11118.0,-0.003234533336914325
11119.0,-0.003370981650650093
11120.0,-0.0034995389888840783
11121.0,-0.003576051465537492
11122.0,-0.003649783972439432
11123.0,-0.003765186808232624
11124.0,-0.0038968364810855853
11125.0,-0.003993241592510207
11126.0,-0.004121303619668273
11127.0,-0.004127962278220298
11128.0,-0.004093492869054677
11129.0,-0.003998012065803532
11130.0,-0.003876465560903844
11131.0,-0.003698615391525874
11132.0,-0.003408135479218437
11133.0,-0.003108155282144279
11134.0,-0.002841782834169598
11135.0,-0.0027112756028213514
11136.0,-0.0026587210169247057
11137.0,-0.002592325170262342
11138.0,-0.002470187962730426
11139.0,-0.002275817854558993
11140.0,-0.0020434960054463032
11141.0,-0.0019050339974246856
11142.0,-0.0017955010954584167
11143.0,-0.0016889285112500095
11144.0,-0.0015038517907873309
11145.0,-0.0014438388739423582
11146.0,-0.0013935943005502058
11147.0,-0.0013019832861524497
11148.0,-0.0012272902623638718
11149.0,-0.001238898418319308
11150.0,-0.0012023286660611356
11151.0,-0.0012035132358695824
11152.0,-0.0010577020956466605
11153.0,-0.0008486781512714878
11154.0,-0.0005938519314069966
11155.0,-0.00030532727256969006
11156.0,-3.14550351595436e-05
11157.0,0.00020936306582160498
11158.0,0.0004976045240266966
11159.0,0.0007389289770928142
11160.0,0.0008480645077858565
11161.0,0.0010134726303535116
11162.0,0.001185954389348617
11163.0,0.0013253696519330484
11164.0,0.001469170942752724
11165.0,0.0015258032535274708
